Episode, Reward, TD Error, Epsilon, Loss (Squared TD Error)
(95, -5.0, 10.0, 0.45421019087559844, 100.0)
(96, -8.0, 10.0, 0.45375598068472284, 100.0)
(97, 3.0, 10.0, 0.45330222470403814, 100.0)
(98, 4.0, 5.114296162714255, 0.4528489224793341, 26.156025239953753)
(99, 8.0, 10.0, 0.4523960735568548, 100.0)
(100, 3.0, 10.0, 0.45194367748329795, 100.0)
(101, 2.0, 10.0, 0.45149173380581464, 100.0)
(102, 9.0, 10.0, 0.4510402420720088, 100.0)
(103, 1.0, 10.0, 0.45058920182993684, 100.0)
(104, -2.0, 10.0, 0.4501386126281069, 100.0)
(105, 2.0, 10.0, 0.4496884740154788, 100.0)
(106, 4.0, 10.0, 0.4492387855414633, 100.0)
(107, 4.0, 10.0, 0.4487895467559218, 100.0)
(108, 0.0, 10.0, 0.4483407572091659, 100.0)
(109, 1.0, 10.0, 0.4478924164519567, 100.0)
(110, 1.0, 10.0, 0.4474445240355048, 100.0)
(111, 1.0, 10.0, 0.4469970795114693, 100.0)
(112, -1.0, 10.0, 0.4465500824319578, 100.0)
(113, 6.0, 10.0, 0.4461035323495259, 100.0)
(114, 2.0, 10.0, 0.44565742881717635, 100.0)
(115, -8.0, 10.0, 0.44521177138835916, 100.0)
(116, 15.0, 10.0, 0.4447665596169708, 100.0)
(117, 5.0, 10.0, 0.44432179305735386, 100.0)
(118, 0.0, 10.0, 0.4438774712642965, 100.0)
(119, 0.0, 10.0, 0.4434335937930322, 100.0)
(120, -1.0, 10.0, 0.4429901601992392, 100.0)
(121, 5.0, 10.0, 0.44254717003904, 100.0)
(122, -2.0, 10.0, 0.44210462286900093, 100.0)
(123, -2.0, 10.0, 0.44166251824613195, 100.0)
(124, -1.0, 10.0, 0.44122085572788583, 100.0)
(125, -10.0, 10.0, 0.44077963487215793, 100.0)
(126, 1.0, 10.0, 0.4403388552372858, 100.0)
(127, 1.0, 10.0, 0.43989851638204847, 100.0)
(128, -2.0, 10.0, 0.4394586178656664, 100.0)
(129, 1.0, 10.0, 0.43901915924780077, 100.0)
(130, 6.0, 10.0, 0.43858014008855295, 100.0)
(131, 2.0, 10.0, 0.4381415599484644, 100.0)
(132, 2.0, 10.0, 0.4377034183885159, 100.0)
(133, -4.0, 10.0, 0.4372657149701274, 100.0)
(134, -1.0, 10.0, 0.4368284492551573, 100.0)
(135, -5.0, 10.0, 0.43639162080590216, 100.0)
(136, 5.0, 10.0, 0.43595522918509627, 100.0)
